Title,Year,Score,Genre,Vote,Director,Runtime,Revenue,Oscar,Guild,Globe,win,nominee
A Fox's Tale,2008,2.2,"Animation, Adventure, Family",8236,György Gát,85,,-1.0,-1.0,-1.0,-1.0,False
A Funny Kind of Love,2014,7.1,"Comedy, Drama, Romance",22953,Josh Lawson,96,0.02,-1.0,-1.0,-1.0,-1.0,False
A Funny Thing Happened on the Way to the Forum,1966,7.0,"Comedy, Musical",7507,Richard Lester,99,,1.0,-1.0,-1.0,1.0,True
A Futile and Stupid Gesture,2018,6.8,"Biography, Comedy",9109,David Wain,101,,-1.0,-1.0,-1.0,-1.0,False
A Ghost Story,2017,6.8,"Drama, Fantasy, Romance",41329,David Lowery,92,1.6,-1.0,-1.0,-1.0,-1.0,False
A Girl Like Her,2015,7.1,Drama,6233,Amy S. Weber,91,,-1.0,-1.0,-1.0,-1.0,False
A Girl Walks Home Alone at Night,2014,7.0,"Drama, Horror",25343,Ana Lily Amirpour,101,,-1.0,-1.0,-1.0,-1.0,False
A Good Day to Die Hard,2013,5.3,"Action, Thriller",183683,John Moore,98,67.35,-1.0,-1.0,-1.0,-1.0,False
A Good Marriage,2014,5.2,"Drama, Thriller",8102,Peter Askin,102,,-1.0,-1.0,-1.0,-1.0,False
A Good Old Fashioned Orgy,2011,6.2,"Comedy, Romance",19512,Alex Gregory,95,0.15,-1.0,-1.0,-1.0,-1.0,False
A Good Woman,2004,6.5,"Drama, Comedy, Romance",10607,Mike Barker,93,0.22,-1.0,-1.0,-1.0,-1.0,False
A Good Year,2006,7.0,"Comedy, Drama, Romance",80452,Ridley Scott,117,7.46,-1.0,-1.0,-1.0,-1.0,False
A Goofy Movie,1995,6.8,"Animation, Adventure, Comedy",39441,Kevin Lima,78,35.35,-1.0,-1.0,-1.0,-1.0,False
A Guide to Recognizing Your Saints,2006,7.0,"Crime, Drama",23635,Dito Montiel,100,0.52,-1.0,-1.0,-1.0,-1.0,False
A Guy Thing,2003,5.6,"Comedy, Romance",15528,Chris Koch,101,15.41,-1.0,-1.0,-1.0,-1.0,False
A Hard Day's Night,1964,7.7,"Comedy, Music, Musical",35750,Richard Lester,87,13.78,0.0,-1.0,-1.0,0.0,True
A Haunted House,2013,5.1,"Comedy, Fantasy",39202,Michael Tiddes,86,40.04,-1.0,-1.0,-1.0,-1.0,False
A Haunted House 2,2014,4.7,"Comedy, Fantasy",17430,Michael Tiddes,86,17.33,-1.0,-1.0,-1.0,-1.0,False
A History of Violence,2005,7.5,"Drama, Thriller",206269,David Cronenberg,96,31.49,0.0,-1.0,0.0,0.0,True
A Hologram for the King,2016,6.1,"Comedy, Drama, Romance",34045,Tom Tykwer,98,4.2,-1.0,-1.0,-1.0,-1.0,False
A Home at the End of the World,2004,6.7,"Drama, Romance",12697,Michael Mayer,97,1.03,-1.0,-1.0,-1.0,-1.0,False
A King in New York,1957,7.2,"Comedy, Drama",6298,Charles Chaplin,110,,-1.0,-1.0,-1.0,-1.0,False
A Knight's Tale,2001,6.9,"Action, Adventure, Romance",153415,Brian Helgeland,132,56.57,-1.0,-1.0,-1.0,-1.0,False
A Late Quartet,2012,7.1,"Drama, Music",12667,Yaron Zilberman,105,1.56,-1.0,-1.0,-1.0,-1.0,False
A League of Their Own,1992,7.2,"Comedy, Drama, Family",81548,Penny Marshall,128,107.53,-1.0,-1.0,-1.0,-1.0,False
A Letter to Three Wives,1949,7.8,"Drama, Romance",7174,Joseph L. Mankiewicz,103,,1.0,-1.0,-1.0,1.0,True
A Life Less Ordinary,1997,6.4,"Comedy, Crime, Fantasy",32446,Danny Boyle,103,4.27,-1.0,-1.0,-1.0,-1.0,False
A Little Bit of Heaven,2011,6.3,"Comedy, Drama, Fantasy",25830,Nicole Kassell,106,0.01,-1.0,-1.0,-1.0,-1.0,False
A Little Chaos,2014,6.5,"Drama, Romance",17239,Alan Rickman,112,0.55,-1.0,-1.0,-1.0,-1.0,False
A Little Princess,1995,7.7,"Drama, Family, Fantasy",28546,Alfonso Cuarón,97,10.02,0.0,-1.0,-1.0,0.0,True
A Lonely Place to Die,2011,6.3,"Adventure, Crime, Thriller",24964,Julian Gilbey,99,,-1.0,-1.0,-1.0,-1.0,False
A Long Way Down,2014,6.4,"Comedy, Drama",28593,Pascal Chaumeil,96,0.01,-1.0,-1.0,-1.0,-1.0,False
A Lot Like Love,2005,6.6,"Comedy, Drama, Romance",63474,Nigel Cole,107,21.84,-1.0,-1.0,-1.0,-1.0,False
A Love Song for Bobby Long,2004,7.2,Drama,23633,Shainee Gabel,119,0.16,-1.0,-1.0,-1.0,-1.0,False
A Man Apart,2003,6.1,"Action, Crime, Drama",41629,F. Gary Gray,109,26.18,-1.0,-1.0,-1.0,-1.0,False
